ABN,Name,Main activity,Charity size,Full time staff,Part time staff,Volunteers
12688637293,Montville State School P&C Assn,Other education,Small,0,0,50
12689322721,Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra & Goulburn As Trustees For The Chancery Office,Religious activities,Medium,10,9,0
12692681742,Coolah District Development Group Incorporated,"Economic, social and community development",Small,0,0,50
12694089667,Dadirri Disability Services,Other activity,Large,6,42,6
12694267592,St Brigid's Catholic Primary School,Primary and secondary education,Large,40,12,0
12695918545,The Trustee For Aboriginal Women's Legal Education Trust,Higher education,Small,0,0,3
12696044171,Indooroopilly Chamber Orchestra,Culture and Arts,Small,0,0,40
12696360681,Bimbadeen Rural Fire Brigade,Other activity,Small,0,0,35453
12698695317,Concordia College Inc,,Large,94,68,7
12699104993,Clarence Valley Christian Broadcasters Incorporate,Culture and arts,Small,0,0,15
12701325101,Windsor Public School P&C Association,Primary and secondary education,Small,0,0,22
12701325246,The trustee for WEA Hunter Foundation,,Small,0,0,0
12705500532,Catholic Parish Of The Good Shepherd Plumpton,Religious activities,Medium,1,1,250
12705508626,Christian Fellowship Centre Albury,Religious activities,Small,2,3,50
12709300771,Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For The Catholic Parish Of Cooma,Religious activities,Small,0,2,119
12709974739,Warilla Neighbourhood Centre Inc,Other activity,Small,0,0,0
12712741732,Mount Beauty Rsl Sub-Branch,Other recreation and social club activity,Small,0,0,14
12713091317,Wentworthville Gospel Trust,Religious activities,Small,0,0,6
12714894393,Community Workshed Incorporation,Grant-making activities,Small,0,0,15
12715979480,The Trustee For The Y K Ong Memorial Fund,Religious activities,Small,0,0,20
12716617625,Melbourne Steam Traction Engine Club Incorporated,,Small,0,0,50
12716912401,Catholic Education Office Warragul,Primary and secondary education,Large,44,11,0
12718158051,Valleys Housing Association Incorporated,Housing activities,Small,0,0,0
12726198672,St Stephens Anglican Church Belmont,Religious activities,Small,1,0,76
12726198753,Kids In Community Incorporated,Other activity,Small,0,0,19
12726907859,Bundeena Pre School,Other education,Medium,0,9,8
12738533725,Australian Endocrine Surgeons,Other health service delivery,Small,0,1,8
12739015600,Tramway Museum Society Of Victoria Incorporated,Other activity,Small,0,0,25
12739130927,Joey's Before And After School Care Inc,Other activity,Small,2,5,0
12739828148,Hampton Rsl Sub-Branch Welfare Patriotic Fund No W187,,SMALL,0,0,0
12742911570,The Prospect Heritage Trust Incorporated,Other recreation and social club activity,Small,0,0,12
12743810800,Al Noor Islamic Association Incorporated,Religious activities,Large,1,0,50
12744213828,Yuluma Primary School Parents And Citizens Association Inc,Other activity,Small,0,2,35
12744966577,Kingscross Church Inc,Other education,Medium,1,2,12
12746711069,Severnlea West Rural Fire Brigade,Other activity,Small,0,0,35453
12747843390,Caloundra Community Kindergarten Association Inc,,Medium,1,4,3
12748977994,The Trustee For The Anne Maree And Bernard Myles Quinn Memorial Trust Fund,Grant-making activities,Small,0,0,0
12749683753,Poets Grove Family And Children's Centre Inc.,Other education,Large,13,29,0
12753303616,Brooloo/Mary River Rural Fire Brigade,Other activity,Small,0,0,35453
12753549375,Baptist Church Mayfield,,Medium,3,5,12
12753559306,Cronulla RSL sub-Branch (RSL NSW),,Small,0,0,8
12753908416,International Christian Church In Newcastle,Religious activities,Small,1,0,6
12754128450,The Trustee For Victorian Farmers Federation Scholarship Fund,,Small,0,0,0
12756046044,Hawkesbury Area Womens & Kids Services Collective,Social services,Medium,1,9,7
12756099897,Grenfell RSL sub-Branch (RSL NSW),,Small,0,0,8
12760745982,South Australian Catholic Secondary Schools Girls Sports Association Incorporated,Sports,Small,1,0,100
12761020718,Uca - Raymond Terrace,Religious activities,Small,0,3,39
12762613281,St Stephens Toowoomba Meals On Wheels,Other activity,Medium,2,11,200
12763399779,Strathfield-Dundas Gospel Trust,Religious activities,Small,0,0,6
12766557338,Living Hope Inc,Social services,Small,1,5,10
12768644881,Leading Age Services Queensland Ltd,Other activity,Medium,25,10,0
12768976538,St Bernadettes Catholic Church North Sunshine,Religious activities,Small,0,1,130
12771941284,Grafton Legacy,Other activity,Small,0,1,26
12776097518,The Trustee For The Neilson Foundation,Other activity,Large,0,0,0
12778938340,Cccs (Aust) Southwest Brisbane,Religious activities,Small,0,0,15
12781677397,The Corporation Of The Synod Of The Diocese Of Brisbane,Social services,Small,0,1,10
12782876905,Stroud Heritage Conservation Trust,,Small,0,0,0
12786537975,Linc Church Services Network Bayside Inc,Other activity,Small,0,0,45
12788275604,Christies Beach Baptist Church Inc,Religious activities,Small,0,0,50
12791011627,Helplines Australia,,Small,0,0,8
12792337133,Weipa Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,36
12794935230,Young People's Legal Rights Centre Inc,Law and legal services,Medium,3,5,22
12795173440,Floraville P S P&C Association,"Economic, social and community development",Small,0,1,80
12800347514,Taringa History Group,,Small,0,0,2
12801335908,The Combined Eltham Churches Opportunity Shop,,Small,0,0,27
12805507112,Returned & Services League Busselton Sub-branch,,Small,0,0,3
12806513245,This Life Cambodia Incorporated,Primary and secondary education,Medium,28,0,5
12808609822,Dayspring Evangelistic World Outreach,,Small,0,0,0
12808897863,St Malachy's School,Primary and secondary education,Large,3,7,5
12811547184,St Michaels School Bassendean,Primary and secondary education,Large,11,19,0
12811956051,Aboriginal Evangelical Church Eden,Religious activities,Small,0,0,12
12812032013,The Rotary Club Of Kidman Park Charitable Trust Inc,Emergency and relief,Small,0,0,25
12812853676,Woopen Creek Rural Fire Brigade,Other activity,Small,0,0,35453
12812876885,Ruse Public School P&C Association,Other activity,Small,0,0,30
12821496150,Bethel Incorporated,Housing activities,Small,0,0,15
12823295467,Space Cooperative Incorporated,Housing activities,Small,0,0,0
12823465535,Christian Reformed Church Of Toowoomba Inc.,Religious activities,Small,1,1,50
12827809009,Uca - Pine Rivers,Religious activities,Small,0,3,70
12829765893,Cama Services (Australia),,Small,0,0,0
12830294003,The Trustee For The Vv Marshman Charitable Trust,Other activity,Medium,0,0,0
12831286797,Cornwall Units,Aged care activities,Medium,0,0,0
12832689950,Yirara College Of The Finke River Mission Inc,Primary and secondary education,Large,63,15,3
12838505432,St Dominics College,Primary and secondary education,Large,89,21,0
12839291693,The Link Church Incorporated,Religious activities,Medium,0,4,120
12839893016,River Of Life World Evanselization Inc ,Primary and secondary education,Small,0,0,6
12842417947,Gosford Gospel Trust,Religious activities,Small,0,0,6
12843173532,The Trustee for THE KOREA VETERANS RSL SUB BRANCH WELFARE PATRIOTIC FUND W514 TRUST,,SMALL,0,0,0
12845218134,The Trustee For Julian Zahara Memorial Fund,Primary and secondary education,Small,0,0,1
12845268429,Kindilan Foundation PTY LTD,Grant-making activities,Medium,0,2,0
12846273477,Moving Clickers Incorporated,Other education,Small,0,0,8
12847527692,Swan Bay Environment Association Inc.,,Small,0,0,55
12848180202,The Grand Charity Fund,,Medium,1,0,5
12849401827,The Marin Charitable Trust,Other activity,Small,0,0,0
12850816238,The Corp Of The T/Tees Of The Order Of The Sisters Of The Presentation In Qld,Religious activities,Large,2,18,0
12856318255,Rivers Christian Life Centre Inc,Religious activities,Small,1,0,10
12859264155,Belgium Avenue Neighbourhood House Incorporated,"Economic, social and community development",Medium,2,15,16
12860262976,Withcott Primary P&C Association,Primary and secondary education,Small,0,1,20
12860403161,Oran Park Anglican College Parents' And Friends' Association,Other education,Small,0,0,7
12862008208,ACPT - Darling Street Trust,Religious activities,Small,0,0,11
12863063082,Holy Spirit School-Thornbury East,Primary and secondary education,Large,11,22,35
12864035276,Parish Of Circular Head Stanley Discovery Centre,Religious activities,Small,0,0,0
12866122079,Fleurieu Assembly Of God,Religious activities,Small,0,1,10
12868524011,Friends Of Toowong Cemetery Association Incorporated,Culture and arts,Small,0,0,24
12869870867,Helensburgh & District Landcare Group Inc,Environmental activities,Small,0,0,0
12873139250,The Bible Museum Inc.,Religious activities,Small,0,0,2
12875765194,St Josephs Gladstone School Board,Primary and secondary education,Medium,4,13,0
12879042573,Maleny Primary P&C Association,Primary and secondary education,Small,0,3,0
12880739636,The Trustee For The Masonic Benevolent Foundation,Grant-making activities,Small,0,0,11
12880747493,The Trustee For Roland R Nancarrow Re Arnold Street,Grant-making activities,Small,0,0,0
12882433708,Serpentine-Jarrahdale State Emergency Service,,Small,0,0,50
12886519613,The Trustee For Australian Wool Education Trust,Higher education,Medium,0,1,7
12887490236,The Sweethearts Foundation Inc,Primary and secondary education,Small,0,10,20
12887524710,St Andrews Uniting Church South Turramurra ,Religious activities,Small,0,0,40
12890535085,Noble Park Christian Church,Religious activities,Small,1,1,0
12892296036,Beginning Experience Asia-Pacific Regional Board Inc,,Small,0,0,20
12894273278,United Pentecostal Church Of Lynbrook Inc.,Religious activities,Small,1,2,10
12894564452,Sunnybank Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,104
12895667602,City Of Casey Mayors Fund,,Small,0,0,0
12900448879,Eurella Community Services Incorporated,Employment and training,Large,15,47,12
12901071775,The Trustee For The Inner North Community Foundation Charitable Fund,Grant-making activities,Medium,0,1,0
12902533593,The Mount Gambier And Districts Ministers Association,Religious activities,Small,0,0,14
12907996697,Al Sadiq College Ltd,Primary and secondary education,Large,31,40,25
12908506960,Church Property Trust - Shellharbour (Bush Estate) Var Of Trusts Ordinance 1986,Religious activities,Small,0,0,11
12911402807,Coorparoo Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,80
12916571838,Copper Triangle Christian School Association Inc,Primary and secondary education,Large,26,30,50
12916651721,Brain Nation,Primary and secondary education,Small,0,0,1
12919602632,Bomaderry RSL sub-Branch (RSL NSW),,Medium,0,0,40
12921460377,Country Home Advocacy Project Inc,Aged care activities,Large,14,20,0
12922838501,Halls Head Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,91
12923232495,Helena College Council Inc,Higher education,Large,50,50,5
12923317059,Qcwa Branch Cloncurry,,Small,0,0,28
12929134938,The Adelaide Festival Centre Foundation Incorporated,Culture and arts,Medium,0,0,22
12931341729,Bethany Tabor Lutheran Parish Inc,Religious activities,Small,2,0,100
12933692015,Concord Kindergarten Association,Other education,Medium,1,12,80
12936896218,Casino Community Men's Shed Incorporated,Aged care activities,Small,0,0,50
12937007528,The Corporation Of The Synod Of The Diocese Of Brisbane,Religious activities,Medium,0,4,50
12944833932,Catholic Deaf Community NSW,,Small,0,0,30
12954086227,Gulgong Hostel Association Inc,Aged care activities,Large,1,30,50
12954150142,The Corporation Of The Synod Of The Diocese Of Brisbane,Religious activities,Small,1,0,40
12955064707,New River Of Life City Church,Religious activities,Large,0,6,30
12960738028,Uca - Dingee,Religious activities,Small,0,0,22
12961597206,Maroochydore High P&C Association,Higher education,Medium,0,5,10
12965346647,The Trustee For The Rafi Charitable Trust,,Small,0,0,0
12966768575,Uca - Berriwillock,Religious activities,Small,0,0,0
12970362691,The Trustee For Doncaster Community Church Of Christ Tax Deduction Gift Fund,Religious activities,Small,0,0,3
12974015985,Centre For Non-Violence,Emergency and relief,Large,4,36,8
12974150769,Apex Foundation Community Fund,Grant-making activities,Small,1,1,0
12977038204,Inspirit Dynamics Incorporated,Religious activities,Small,0,0,2
12977407963,The Trustee For The Rix Foundation,Research,Small,0,0,2
12982442059,The Trustee For The Eternal Flame Foundation,Emergency and relief,Small,0,0,3
12983827488,Melbourne Glory Church Inc,Religious activities,Medium,2,1,0
12984569751,Computer Pals For Seniors-The Hills Incorporated,Other education,Small,0,0,100
12985134979,South Camberwell Uniting Church Gospel Hall,Religious activities,Small,2,3,0
12988740733,Door Of Faith Church Inc,Religious activities,Small,0,3,10
12989192939,Warnbro Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,116
12994040142,St Brigid's College,Primary and secondary education,Large,120,44,40
12994280058,Moe & District Veterans' & Services' Support Centre,,Medium,0,0,2
12995804020,Suited To Success Limited,Employment and training,Medium,0,4,110
12996229221,St Johns Lutheran Primary School Portland,Primary and secondary education,Large,5,12,0
12996818166,Sant Nirankari Mandal Australia Inc,,Large,0,0,100
12997842023,Dunedoo-Leadville RSL sub-Branch (RSL NSW),,Small,0,0,6
13000071438,Australian Church Record,Religious activities,Small,0,0,11
13000397080,"Elderslee Foundation, Australia Ltd",Aged care activities,Medium,0,0,0
13000860837,Macedonian Orthodox Community Of Australia Ltd,Religious activities,Medium,0,0,15
13001269757,Bushikori Christian Centre - Orphan Support Aus Inc,Other activity,Medium,0,0,12
13001534309,Osteogenesis Imperfecta Society Of Australia (Brittle Bones),Other activity,Small,0,0,10
13001673267,Finding Yellow Limited,Other activity,Large,1,8,8
13002794318,Eca Training Pty. Limited,Employment and training,Large,601,2,0
13002838495,Cure Cancer Australia Foundation,Other activity,Large,11,8,30
13002963171,St Andrew's College Foundation Ltd,Higher education,Small,1,0,8
13003273827,Grace Chinese Christian Church Ltd,Religious activities,Medium,6,2,60
13003396521,S'Antonio Da Padova Protettore Di Poggioreale Sydney Nursing Home Limited,Aged care activities,Large,2,60,6
13003683261,Mission Australia Housing,Housing activities,Large,35,2,0
13003698726,Hillsong Citycare,,Large,25,21,1000
13003963148,Nutcote Trust Pty. Ltd.,Culture and arts,Small,1,4,30
13004056660,Trinity Grammar School Kew,Primary and secondary education,Large,184,221,20
13004635821,The George Hicks Foundation Ltd.,Grant-making activities,Small,1,0,9
13004644650,The Roman Catholic Bishop Of Geraldton Rangeway P Arish,Religious activities,Small,0,1,10
13005130272,Open House Christian Involvement Centres,Other activity,Medium,9,2,80
13005235647,The Plenty Valley Montessori School Association,Primary and secondary education,Large,25,21,0
13009343249,The Trustee For Ballarat Education Trust,,,0,0,0
13009484119,Fahan Properties Limited,,Small,0,0,0
13009544496,THE ROYAL NATIONAL AGRICULTURAL AND PASTORAL SOCIETY OF TASMANIA,"Economic, social and community development",Medium,1,3,6
13010423686,Avatars Abode Pty. Ltd.,Religious activities,Small,0,1,30
13010463760,The Children's Connection Ltd,Other education,Small,1,1,3
13010856621,Toowoomba Anglican School Foundation Limited,Other education,Small,1,0,12
13011072432,Rockhampton Affordable Housing Limited,Housing activities,Small,0,2,6
13011942976,Victorian Blue Light Youth Camp Inc,"Economic, social and community development",Medium,4,14,2
13012989761,Early Childhood Management Services Inc,Other education,Large,300,220,0
13016628724,St Martins Parish School Board,Primary and secondary education,Large,28,39,0
13018177589,The Trustee For Price Coulsell Wilson Fund,Grant-making activities,Small,0,0,0
13021329424,Winnejup Volunteer Bushfire Brigade,Emergency and relief,Small,0,0,30
13025291258,Broadbeach Waters Kindergarten & Preschool Association,Other education,Medium,1,4,45
13025599242,Merri Creek Management Committee Inc,Environmental activities,Large,13,9,2
13029301649,Birkdale Baptist Church,Religious activities,Medium,4,7,416
13030963942,Food And Beverage Development Fund Sa Inc,Higher education,Small,1,0,7
13035627549,Laurel Place Inc.,Mental health and crisis intervention,Large,1,16,0
13037159114,Wonthaggi & District Elderly Citizens Homes Inc,Aged care activities,Large,4,64,70
13044771942,Bannister Creek Primary School Parents And Citizens' Association Incorporated,Other activity,Small,1,0,30
13045484774,Outreach Wa Inc.,Religious activities,Small,2,5,10
13046081944,Tamil Educational Cultural & Charitable Association,Religious activities,Medium,3,0,25
13047301275,The Trustee For The Hawkesbury Living Cancer Trust,,Small,0,0,8
13051150546,Gandhi Centre Australia,"Economic, social and community development",Small,0,0,20
13053503607,Bendemeer Pre School Inc,Other education,Small,0,3,11
13053787965,Australian Diabetes Society Limited,Other education,Large,0,3,15
13054070332,Qcwa Branch Eidsvold,,Small,0,0,9
13055077237,Ivanhoe Grammar School - In Tune,,Small,0,0,100
13055113838,Disability Services Port Stephens Inc,,Medium,0,7,10
13059671417,Hastings Seafarers Centre Inc,Other activity,Small,0,0,34
13059731988,St Petri Lutheran Church Eden Valley Inc,Religious activities,Small,0,0,12
13060603775,Everlasting Light Worship Centre,Religious activities,Small,0,0,20
13061138181,The Kids' Cancer Project,Research,Large,6,6,10
13061574409,Infiniti Health Solutions Ltd.,Other health service delivery,Small,7,14,0
13062013343,Hornsby Ku-Ring-Gai Ryde Division Of General Practice Ltd,Other education,Small,0,4,0
13062042951,U.A.M. Ministries,Religious activities,Small,1,0,5
13062453826,Mackillop College - Bathurst,,Large,48,0,0
13064658975,Genazzano FCJ College Limited,Primary and secondary education,Large,132,83,0
13067457687,Smithfield Public School P&C Assn,Primary and secondary education,Small,1,1,10
13067597747,Glen Innes Pre-School Association Incorporated,Other education,Medium,2,11,11
13068105213,Catholic Parish Of Mary Mother Of The Church Macquarie Fields,Religious activities,Small,0,2,174
13069810948,Bethany Care Ltd,Social services,Large,8,17,2
13070528716,The Trustee For Estate J J Gardiner,Other activity,Small,0,0,0
13070898648,GREEK ORTHODOX ARCHDIOCESE OF AUSTRALIA CONSOLIDATED TRUST PARISH OF ST JOHNS NORTH CARLTON,,Small,1,0,15
13072138802,Al Furey Ministries Limited,Religious activities,Small,2,0,0
13072747187,Alphacrucis College Limited,,Large,63,0,0
13076052155,Shepparton Church Of Christ,Religious activities,Small,1,1,10
13077274855,Narrandera Bible Society Incorporated,Religious activities,Small,0,0,30
13077518908,Tenrikyo Oceania Centre Limited,Religious activities,Small,1,0,4
13078141787,Hearing Matters Australia Inc,Social services,Small,0,1,13
13078896173,Church Of Christ Moorooka,Religious activities,Small,0,0,5
13079007613,Kuditj Pty Ltd,Employment and training,Large,0,0,0
13080037538,Job Futures Ltd,Employment and training,Large,36,12,6
13080838213,Christian City Church Byron Bay Ltd,Religious activities,Small,0,3,16
13081056902,Jubilee Christian College Limited,Primary and secondary education,Large,19,34,0
13083701147,Presbyterian Church Murwillumbah,Religious activities,Small,1,0,60
13084010362,CARERS NT LIMITED,Other activity,Large,23,15,23
13086682822,The ARK of Veterans,,Small,0,0,2
13087426828,Australian Montessori Teacher Education Foundation Limited,Other education,Small,0,3,0
13087510232,National Ethnic Disability Alliance Inc,Civic and advocacy activities,Medium,0,3,8
13088357902,Australian Pituitary Foundation,Other activity,Small,0,2,15
13088442504,The Aurora Group - A Ruby Foundation Limited,Grant-making activities,Medium,0,0,40
13089435931,The Trustee For Richard Pratt Fellowships In Prostate Cancer,Hospital services and rehabilitation activities,Small,0,0,0
13090515709,Caf Community Fund Ltd,,Small,0,0,0
13091551872,Bay Theatre Players Incorporated,,Small,0,0,43
13094186877,Playgroup Victoria Inc.,Social services,Large,5,87,0
13094479897,Cummins & District Enterprise Committee,Other activity,Small,0,1,11
13095717114,100% Pure Charity Ltd,,Small,0,0,3
13096312647,Evolve Community Wellness Foundation Inc.,Social services,Small,0,0,3
13097832909,Harmony- The Dombroski Foundation Limited,Social services,Small,0,0,12
13098115961,Harvest Rain Christian Care Ltd,Emergency and relief,Medium,1,3,18
13098507850,Association For The Advancement Of Brain Injured Children Inc,Grant-making activities,Small,0,0,9
13099282809,General Practice Training - Valley To Coast Limited,Other education,Large,14,12,0
13100005561,Prader-Willi Syndrome Association of Australia Inc,,Small,0,0,0
13100893175,Koolamon Fellowship Incorporated,Social services,Small,0,0,6
13100996768,St Peters College,Primary and secondary education,Large,108,28,0
13102444557,Australian Pro Bono Centre,Law and legal services,Medium,4,1,2
13102721513,Australia Zoo Wildlife Warriors Worldwide Ltd,Other activity,Large,3,1,40
13103345213,The Russian Imperial Order of Saint Michael Archangel,,Small,0,0,0
13103823755,Protestant Hall Geelong,Religious activities,Small,0,0,6
13103896920,Engineers Without Borders Australia Ltd,Other activity,Large,11,4,1200
13104553808,Seventh-Day Adventist Church (Western Australian Conference) Limited,Religious activities,Large,50,16,2
13105087161,ARC International (Aust) Ltd,Religious activities,Small,2,1,12
13105362561,Bharatiya Vidya Bhavan Australia,Culture and arts,Small,1,2,10
13105462272,Reformed Presbyterian Church Of Australia - Mckinnon,Religious activities,Small,1,0,8
13105753785,Bawrunga Aboriginal Medical Service,,Large,21,5,7
13105985537,Bhakti Meditation Centre Limited,Religious activities,Small,0,0,2
13106051180,Lower Tully State School Parents & Citizens Association,Other education,Small,0,0,9
13106098926,Life Changing Experiences Foundation Ltd.,Social services,Medium,2,1,100
13106906496,Seventh-Day Adventist Schools (Northern Australia) Limited,Primary and secondary education,Small,20,22,0
13107200877,Hunters Hill Rotary Youth Foundation Pty Ltd,Other activity,Small,0,0,2
13107780017,Palliative Care Wa Incorporated,,Small,0,2,0
13108567736,Bairnsdale Presbyterian Church,Religious activities,Small,1,0,0
13110446709,Quest Foundation Inc,,Small,0,0,2
13116093004,HousingFirst Ltd,Housing activities,Large,23,6,8
13117622732,Northern Rivers Community Cancer Foundation Ltd.,Other health service delivery,Medium,1,2,9
13119189040,Anglican Parish Of Forrestfield Wattle Grove,Religious activities,Small,1,0,30
13120232163,St Marys' Cathedral Sydney,Religious activities,Large,9,7,65
13120663736,The Stagemaster Inc,Culture and arts,Large,4,23,27
13120698479,St Philips Anglican Church Turramurra South,Religious activities,Medium,0,8,120
13121140141,Chegs Incorporated,Other education,Medium,0,35,0
13122159595,Force Majeure,Culture and arts,Medium,2,3,0
13123147731,Habitat Restoration Fund,Environmental activities,Small,0,0,50
13123895447,Ryder-Cheshire Australia Limited,Other health service delivery,Medium,0,0,65
13124848380,Metro International Leadership College Ltd,Higher education,Small,0,0,10
13127908187,Australian Indigenous Education Foundation,"Economic, social and community development",Large,17,4,0
13128561663,The Trustee For Ford Heritage Trust,Other education,Small,0,0,0
13132997865,John Button Foundation Limited,Other education,Small,0,1,0
13133224941,Minds Count Foundation,Mental health and crisis intervention,Small,0,1,20
13134343097,The Trustee For Rotary Club Of Adelaide Parks Charitable Trust Fund,Primary and secondary education,Small,0,0,20
13134682720,Alpha Creek Rural Fire Brigade,Other activity,Small,0,0,35453
13136566051,Somali Welfare and Cultural Centre Incorporated,Culture and arts,Small,0,1,50
13136824392,Bass Coast Landcare Network Inc,Environmental activities,Large,8,8,12
13137106088,Climate Change Equity,"Economic, social and community development",Small,0,0,4
13138320662,Gp Links Wide Bay Ltd,Other education,Large,4,12,0
13138374165,Capital Wes Leyan Methodist Church,,Small,0,1,3
13141034739,The Legacy Club Of Shepparton Inc,Other activity,Small,0,1,56
13141271481,Bpm Link,,Small,0,0,1
13142813796,Centre Of Excellence In Intervention And Prevention Science Limited,Other health service delivery,Small,17,0,0
13142879865,Centennial Parklands Foundation Limited,Other activity,Small,3,0,0
13146102758,Blakdance Australia Limited,,Medium,1,1,1
13146762007,Colonel Light Gardens Interchurch Council,Religious activities,Small,0,0,20
13147264531,Orara High School P&C Association,Primary and secondary education,Small,1,1,3
13147330729,Pigdons Road Pty Ltd,Housing activities,Medium,0,0,5
13149039467,Gawad Kalinga Australia Ltd,"Economic, social and community development",Small,0,0,80
13149988447,Lifting The Spirit,,Small,0,0,0
13150403135,Field Naturalists Club Of Ballarat Incorporated,Environmental activities,Small,0,0,0
13152139008,Anglican Parish Of Hamilton,Religious activities,Small,1,0,12
13152438152,Rdns Homecare Limited,,Large,230,315,0
13153019348,Breaking Through Transitional Services Limited,Other activity,Small,0,0,4
13155210398,I.D.E.A. Foundation Ltd,,Small,0,0,6
13155355685,Australian Access Federation Limited,Other activity,Large,6,1,0
13157810083,United For Human Rights Ltd.,,Small,0,0,2
13158521263,Help Kids Like Nick Ltd,,Small,0,0,11
13159028387,The Planet Spins Ltd.,Culture and arts,Small,0,0,5
13159193638,SeeBeyondBorders Australia,,Large,1,5,40
13159400810,Beacon Community Connections Inc,,Small,0,8,18
13160259512,LiveBetter Services Limited,Other activity,Large,200,100,30
13160688077,Australian National Development Index Limited,Research,Small,0,2,12
13162008485,The Black Puppy Fund Incorporated,Mental health and crisis intervention,Small,0,0,5
13164635256,Prahran Mechanics Institute & Circulating Library,Culture and arts,Small,2,1,40
13165289261,Kenya Wildlife Foundation Australia Limited,,Small,0,0,0
13167036744,The Roman Catholic Archbishop Of Perth Kalgoorlie-Boulder Parish,Religious activities,Small,1,1,40
13167162488,St Kilda Rooming House Issues Group Inc,Housing activities,Small,0,0,0
13169227643,Qcwa Branch Abergowrie & Long Pocket,,Small,0,0,3
13170934383,The Soar Project Inc,"Economic, social and community development",Small,0,0,25
13171282122,Sophia Resources Inc,Religious activities,Small,0,2,0
13172090453,The Trustee For Church Of Scientology Brisbane Academy Building Fund,Other education,Small,0,0,0
13174943246,Bartons Creek Bush Fire Brigade,Other activity,Small,0,0,35453
13176354784,Baptist Church Tent Hill Gatton,Religious activities,Small,1,2,50
13177602930,ZI ZAI DONG ZEN ASSOCIATION INC.,Other health service delivery,Small,0,0,27
13178308521,River North Lifestyles Association Inc,Social services,Medium,0,13,7
13180054038,Liverpool Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,122
13181694709,Christian Fellowship Neighbour Care Incorporated,Emergency and relief,Small,0,0,6
13183881931,Glasshouse Mountains Primary P&C Association ,,Small,0,1,4
13191060540,Jp Trainor Archive Trust,Other activity,Small,0,1,0
13191124675,El Redentor Evangelical Church Inc,Religious activities,Small,0,0,1
13193173112,Uca Melville Parish,Aged care activities,Small,0,0,15
13193291901,Australian Christadelphian Conference Sydney 2008,,Small,0,0,0
13196056495,Permaculture International Ltd,Environmental activities,Small,0,0,8
13197558905,The Trustee For Brain Injury Foundation,Hospital services and rehabilitation activities,Small,0,0,6
13197881366,The Trustee For Gawler And District Quality Of Life Foundation,Emergency and relief,Small,0,0,7
13198748098,BALGOWLAH BOYS HIGH SCHOOL P & C ASSOCIATION,Primary and Secondary Education Raising funds for oour school,Small,0,1,10
13202186753,The Association For Good Government Incorporated,"Economic, social and community development",Small,0,1,9
13202715845,Macquarie Fields Baptist Church,Religious activities,Small,0,1,5
13204782021,Kangaroo Ground Presbyterian Church,Religious activities,Small,0,1,0
13207863255,Catholic Parish Of St Frances Xavier Centacare Ballina,Religious activities,Small,7,0,0
13209334528,Methodist Church Of Samoa Algester Logan Inc,,Small,0,0,10
13210052253,Mount Clear Community Kindergarten Inc,Other education,Small,0,0,10
13210237381,Glory International Church,Religious activities,Small,0,0,10
13210491683,Port School Inc,Primary and secondary education,Large,10,1,0
13216207367,Right Track Services Inc.,Religious activities,Small,0,2,0
13216319725,Gympie District Show Society Inc,Other activity,Medium,1,1,350
13216839961,Loxton District Childrens Centre Inc,,Large,12,8,1
13225092835,Geurie Union Church Inc,Religious activities,Small,0,0,16
13225292063,The Trustee For Ronald Gordon Bergstrom Est,Grant-making activities,Small,0,0,0
13226904929,Ardrossan Uniting Church,Religious activities,Small,1,0,20
13228610034,Canberra Grammar School Foundation Building Trust,Primary and secondary education,Large,0,3,0
13228814116,Wondai & District Meal On Wheels Inc,Other activity,Small,0,1,70
13229409061,Australian Miners Historic Centre Association Inc,Culture and arts,Small,0,0,54
13231091490,The Simeon Association Inc,Religious activities,Small,0,0,7
13231860321,The Junction Neighbourhood Centre Inc,Social services,Large,7,25,80
13232997436,Qcwa Branch Springsure,,Small,0,0,14
13234352593,Holyoake Alice Springs Inc,Other education,Medium,2,8,0
13235466548,Eastern Hills Community Church,Religious activities,Small,0,4,40
13237869499,Koinonia Christian Academy Inc School,Primary and secondary education,Medium,6,2,1
13237941806,Australian Chinese Medical Association Victoria Foundation,Other education,Large,0,1,12
13238944953,Jallarah Homes Inc,Aged care activities,Large,3,32,12
13240409325,The Trustee For Redesdale Mia Mia Primary School Library Trust,,Small,2,2,0
13240583211,St Albans Parish Corrimal,Religious activities,Small,0,1,20
13243215101,Inner City Mercy Mission,Religious activities,Small,0,0,3
13244358485,Greenvale Town Rural Fire Brigade,Other activity,Small,0,0,35453
13245046569,Living Success Christian Centre,Religious activities,Small,0,3,5
13247147607,Como Baptist Church Inc,Religious activities,Medium,0,4,40
13248983008,Xavier College Ignatius Education Fund,Other education,Medium,0,0,0
13249861679,Broken Hill & District Hearing Resource Centre Inc,Civic and advocacy activities,Small,1,1,16
13251497096,St Margaret's School Maribyrnong,Primary and secondary education,Large,16,9,150
